book,booktitle,author,state,removed,freqchal,pvi2,obama,cperhs,sexexp,antifamily,cmedin,cperba,days2000,occult,language,homosexuality,violence
359,Carl Makes a Scrapbook,"Day, Alexandra",MI,0,0,3.8,0,3.838042131,0,0,2966,-2.223729864,653,0,0,0,0
868,Harry Potter (series),"Rowling, J.K.",VA,0,1,-1.7,0,1.938042131,0,0,11296,5.476270136,480,1,0,0,0
1025,It's Perfectly Normal,"Harris, Robie",FL,0,1,-1.8,0,0.338042131,0,0,372,-1.723729864,420,0,0,0,0
1926,"Watsons Go to Birmingham, The","Curtis, Christopher Paul",VA,0,0,-1.7,0,1.938042131,0,0,11296,5.476270136,901,0,1,0,0
747,Garfield: His Nine Lives,"Davis, Jim",CO,0,0,-0.2,0,7.338042131,0,0,10346.5,8.676270136,1800,0,1,0,0
560,"Doing It Right:  Making Smart, Safe, and Satisfying Choices About Sex","Pardes, Bronwen",WI,0,0,2.4,1,5.538042131,1,0,4234.5,-1.623729864,3731,0,0,0,0
1970,When Plague Strikes,"Giblin, James Cross",OR,0,0,4,0,5.538042131,0,0,1274.5,1.076270136,180,0,0,0,0
607,"Earth, My Butt and Other Big Round Things, The","Mackler, Carolyn",SC,0,0,-7.8,1,-3.261957869,1,0,-2191.5,-3.623729864,3191,0,1,0,0
1061,Junie B. Jones is Captain Field Day,"Park, Barbara",CO,0,0,-0.2,0,7.338042131,0,0,10346.5,8.676270136,1800,0,0,0,0
868,Harry Potter (series),"Rowling, J.K.",IN,0,1,-6.2,1,2.538042131,0,0,1086.5,-4.623729864,3276,1,0,0,0
1223,Manga: Sixty Years of Japanese Comics,"Gravett, Paul",TN,0,0,-8.7,0,-3.661957869,1,0,-2995.5,-4.423729864,1924,0,0,0,0
1429,Paula,NA,VA,1,0,-1.7,0,1.938042131,0,0,11296,5.476270136,510,0,0,0,0
924,"Hotel New Hampshire, The","Irving, John",NH,0,0,1.6,1,7.838042131,1,0,17303,4.676270136,3179,0,0,0,0
1434,"Perks of Being a Wallflower, The","Chbosky, Stephen",IL,0,0,7.7,0,1.838042131,1,0,6489.5,2.076270136,2953,0,1,1,0
418,"Cold One, The","Pike, Christopher",NC,1,1,-4.3,0,-1.461957869,1,0,-310,-1.523729864,1050,0,1,0,1
2051,You Hear Me?,"Franco, Betsy",CO,0,0,-0.2,0,7.338042131,0,0,10346.5,8.676270136,1440,0,1,0,0
1855,Tweaked,"Moore, Patrick",MA,1,0,11.7,1,5.238042131,0,0,14048.5,9.176270136,3836,0,1,0,0
1653,Small Town,"Block, Lawrence",MI,0,0,3.8,NA,3.838042131,1,0,2966,-2.223729864,NA,0,0,0,1
301,"Boy Who Drank Too Much, The","Greene, Shep",CA,0,0,7.4,0,-2.761957869,0,0,10119,2.576270136,480,0,0,0,0
1673,Sons and Lovers,"Lawrence, D.H.",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
1139,Like Sisters on the Homefront,"Williams-Garcia, Rita",PA,1,0,2,0,2.338042131,0,0,4218,-1.623729864,240,0,0,0,0
755,"Geology Book, The","Morris, Dr. John D.",WY,0,0,-19.7,1,8.338042131,0,0,4081.5,-2.123729864,3777,0,0,0,0
990,Murder Mysteries,"Gaiman, Neil and P. Craig Russell",OH,0,0,-0.7,0,3.438042131,1,0,2469,-2.923729864,2936,0,0,0,0
143,And Tango Makes Three,"Parnell, Peter and Justin Richardsonter Parnell",IN,0,0,-6.2,0,2.538042131,0,0,1086.5,-4.623729864,2868,0,0,1,0
1054,"Joy of Gay Sex, The","Silverstein, Dr. Charles and Felice Picano",MT,0,0,-7.1,1,7.638042131,1,0,-6482,0.376270136,3179,0,0,1,0
902,His Wicked Ways,"James, Samantha",OR,0,0,4,0,5.538042131,1,0,1274.5,1.076270136,1426,0,0,0,0
653,Extreme Elvin,"Lynch, Chris",GA,1,0,-6.8,0,-0.961957869,1,0,2239.5,0.276270136,1472,0,0,0,1
69,"Absolutely True Diary of a Part-Time Indian, The","Alexie, Sherman",NY,1,0,10.2,0,-0.461957869,0,0,5007.5,3.376270136,2859,0,1,0,0
1635,Sin City,"Miller, Frank",CA,0,0,7.4,0,-2.761957869,1,0,10119,2.576270136,2399,0,0,0,1
264,Blue Lipstick:  Concrete Poems,"Grandits, John",VT,0,0,13.4,1,6.838042131,1,0,8467,5.376270136,3279,0,0,0,0
993,My Brother Sam is Dead,"Collier, James Lincoln and Christopher Collier",NH,0,0,1.6,0,7.838042131,0,0,17303,4.676270136,480,0,1,0,0
1661,So Far From the Bamboo Grove,"Watkins, Yoko Kawashima",CA,0,0,7.4,0,-2.761957869,1,0,10119,2.576270136,294,0,0,0,1
342,Bury Me Deep,"Pike, Christopher",ID,1,1,-17.4,0,5.138042131,1,0,3194,-2.323729864,120,0,0,0,1
1984,"White Mercedes, The","Pullman, Philip",AR,0,1,-8.8,0,-4.261957869,1,0,-6258.5,-7.323729864,690,0,1,0,0
958,I Know Why the Caged Bird Sings,"Angelou, Maya",KY,0,1,-10.4,0,-5.461957869,0,0,-5880.5,-6.923729864,480,0,1,0,0
1785,There's a Hair in My Dirt,"Larson, Gary",VT,0,0,13.4,0,6.838042131,0,0,8467,5.376270136,245,0,0,0,0
342,Bury Me Deep,"Pike, Christopher",NC,0,1,-4.3,0,-1.461957869,0,0,-310,-1.523729864,990,0,1,0,0
330,Bumps in the Night,"Allard, Harry",MN,0,0,2.3,0,8.338042131,0,0,15378,3.376270136,50,1,0,0,0
1450,"Pinkerton, Behave!","Kellogg, Steven",NC,1,0,-4.3,0,-1.461957869,0,0,-310,-1.523729864,2943,0,0,0,1
2028,"Woman and the Ape, The","Hoeg, Peter",MI,0,0,3.8,NA,3.838042131,1,0,2966,-2.223729864,NA,0,0,0,0
1242,Mastering Multiple Position Sex,"Garrison, Eric Marlowe",OH,0,0,-0.7,1,3.438042131,1,1,2469,-2.923729864,3650,0,1,0,0
1083,King & King,"de Haan, Linda",NC,0,0,-4.3,0,-1.461957869,0,0,-310,-1.523729864,1620,0,0,1,0
1872,Uncle Bobby's Wedding,"Brannen, Sarah S.",PA,0,0,2,0,2.338042131,0,0,4218,-1.623729864,3152,0,0,1,0
995,In the Woods,"French, Tana",VA,0,0,-1.7,1,1.938042131,0,0,11296,5.476270136,3758,0,1,0,0
868,Harry Potter and the Prisoner of Azkaban,"Rowling, J.K.",MI,1,1,3.8,0,3.838042131,0,0,2966,-2.223729864,60,1,0,0,0
1183,Love & Sex,"Cart, Michael",PA,0,0,2,1,2.338042131,0,0,4218,-1.623729864,3600,0,0,0,0
